text@dch1988m	@dch1988m	48.258	53.79	нет / ну типа п... чт... что ты хуйнёй занимаешься / или чо-то мне не нравится  то что ты делаешь
text@dch1988m	@dch1988m	53.864	55.614	ну как-то нет такого какого-то нет общей линии
text@dch1988m	@dch1988m	57.939	61.049	ап... я очень переживал в начале / когда только начал выкладывать видосы
text@dch1988m	@dch1988m	61.804	63.064	и потом понял что
text@dch1988m	@dch1988m	63.424	66.414	ну не-е нет ничего в этом конструктивного / в реакции
text@dch1988m	@dch1988m	66.509	68.369	то есть ты / если ты реагируешь на это
text@dch1988m	@dch1988m	68.539	70.73	там / отвечаешь / пошёл он нахуй пидарас
text@dch1988m	@dch1988m	70.859	73.119	я очень смеялся / Лёха Щербаков он в каком-то
text@dch1988m	@dch1988m	73.869	77.709	когда вышел э-э-э бар в большом городе / где они с Рептилоидом
text@dch1988m	@dch1988m	78.064	78.614	с Тамби
text@dch1988m	@dch1988m	78.949	79.719	хуйню несли #смеётся#
text@dch1988m	@dch1988m	80.414	82.344	и почему-то фанаты э-э-э
text@dch1988m	@dch1988m	85.159	88.88	с Чесноковой / да / набежали к щ... Щербакову в комментарии // и он по-моему потратил какое-то время пш...
text@dch1988m	@dch1988m	89.004	91.584	чтоб послать нахуй каждого / отдельно / человека #cмеётся#
text@dch1988m	@dch1988m	93.169	95.959	это дико смешно / т... он прям / он старался именно...
text@dch1988m	@dch1988m	97.649	101.269	очень разнообразно / очень литературно / с-с-с аргументами / каждому
text@dch1988m	@dch1988m	101.389	104.019	ну короче кад... инвидуально подошёл к каждому человеку
text@dch1988m	@dch1988m	104.114	105.044	#смеётся#
text@dch1988m	@dch1988m	106.374	107.964	и это круто / читать //
text@dch1988m	@dch1988m	108.179	109.259	но я подумал что в... ну вот
text@dch1988m	@dch1988m	110.239	113.729	типа сколько я бы потратил время на то чтоб каждого послать нахуй / и там / и-и-и
text@dch1988m	@dch1988m	114.154	118.35	обработать внутри каждый этот пример хейта // и я подумал нахуй надо вообще это дел... //
text@dch1988m	@dch1988m	118.542	123.162	ну / пис... пишите / удачи вам // вот щас Чипорян классно грыт комментаторы пидарасы / это ж прям
text@dch1988m	@dch1988m	124.742	128.08	идеальная философия если ты в интернете что-то делаешь / потому что ну
text@dch1988m	@dch1988m	129.013	134.313	я иногда пишу типа а-а-а жалко что в интернете нет технологии / чтобы смотреть только контект который тебе нравится
text@dch1988m	@dch1988m	138.503	141.363	ну человек / выдержал твои пятнадцать минут твоего видоса
